Position 1,Position 2,Position 3,Position 4
Clip 1,Clip 2,Clip 3,Clip 4
Clip 1,Clip 2,Clip 4,Clip 3
Clip 1,Clip 3,Clip 2,Clip 4
Clip 1,Clip 3,Clip 4,Clip 2
Clip 1,Clip 4,Clip 2,Clip 3
Clip 1,Clip 4,Clip 3,Clip 2
Clip 2,Clip 1,Clip 3,Clip 4
Clip 2,Clip 1,Clip 4,Clip 3
Clip 2,Clip 3,Clip 1,Clip 4
Clip 2,Clip 3,Clip 4,Clip 1
Clip 2,Clip 4,Clip 1,Clip 3
Clip 2,Clip 4,Clip 3,Clip 1
Clip 3,Clip 1,Clip 2,Clip 4
Clip 3,Clip 1,Clip 4,Clip 2
Clip 3,Clip 2,Clip 1,Clip 4
Clip 3,Clip 2,Clip 4,Clip 1
Clip 3,Clip 4,Clip 1,Clip 2
Clip 3,Clip 4,Clip 2,Clip 1
Clip 4,Clip 1,Clip 2,Clip 3
Clip 4,Clip 1,Clip 3,Clip 2
Clip 4,Clip 2,Clip 1,Clip 3
Clip 4,Clip 2,Clip 3,Clip 1
Clip 4,Clip 3,Clip 1,Clip 2
Clip 4,Clip 3,Clip 2,Clip 1
